Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,High,Medium,Cybersecurity,111225.36,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Communication,69308.68,No,Decline
AI Researcher,Technology,Large,Singapore,High,Medium,Machine Learning,156476.89,Yes,Growth
Sales Manager,Retail,Small,Berlin,Medium,High,Sales,95153.53,No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,High,Medium,Cybersecurity,105743.85,Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,UX/UI Design,100743.97,No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Data Analysis,100528.09,Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,High,Medium,Cybersecurity,113255.76,Yes,Decline
AI Researcher,Retail,Large,London,High,Low,Machine Learning,145305.26,No,Stable
Sales Manager,Entertainment,Medium,Singapore,Medium,High,Sales,88617.07,Yes,Decline
Marketing Specialist,Finance,Small,London,Medium,Medium,Communication,67682.91,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,High,Medium,Machine Learning,145342.7,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Low,Data Analysis,152419.62,Yes,Growth
HR Manager,Retail,Small,Paris,Low,High,Communication,77244.8,Yes,Decline
Product Manager,Finance,Medium,Singapore,Medium,Low,JavaScript,122750.82,Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,Low,High,Sales,81251.42,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Low,JavaScript,114871.69,No,Decline
AI Researcher,Manufacturing,Large,Tokyo,High,Low,Data Analysis,153142.47,No,Stable
Product Manager,Finance,Large,San Francisco,High,Low,UX/UI Design,130919.76,Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Medium,Low,Python,110876.96,Yes,Growth
Sales Manager,Retail,Medium,Sydney,Low,Medium,Sales,94770.99,Yes,Decline
Data Scientist,Manufacturing,Small,Dubai,High,Medium,Machine Learning,127742.24,Yes,Growth
UX Designer,Retail,Small,Tokyo,Medium,Medium,UX/UI Design,103006.46,No,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Low,Data Analysis,125752.52,Yes,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Medium,Project Management,93417.13,Yes,Stable
Data Scientist,Entertainment,Medium,Sydney,High,Medium,Machine Learning,131109.23,Yes,Stable
UX Designer,Transportation,Large,Tokyo,High,Medium,UX/UI Design,93867.55,No,Decline
HR Manager,Manufacturing,Small,Tokyo,Low,High,Communication,92504.65,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,Medium,Low,Cybersecurity,102995.21,Yes,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Medium,High,Communication,68541.53,Yes,Growth
Operations Manager,Transportation,Medium,Dubai,Low,Medium,Data Analysis,92987.2,Yes,Stable
HR Manager,Telecommunications,Large,London,Low,Medium,Communication,102348.52,Yes,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Medium,Sales,84910.02,No,Growth
HR Manager,Finance,Large,London,Low,Medium,Communication,82948.59,Yes,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,High,Low,Cybersecurity,113669.09,Yes,Stable
Sales Manager,Healthcare,Large,Dubai,Medium,High,Sales,76861.04,Yes,Growth
Operations Manager,Entertainment,Small,San Francisco,Low,Medium,Data Analysis,99066.48,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Medium,Low,Cybersecurity,92802.47,Yes,Stable
Software Engineer,Telecommunications,Small,New York,Medium,Medium,Python,111718.14,Yes,Stable
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Communication,70984.31,Yes,Growth
Operations Manager,Education,Small,Dubai,Low,Medium,Communication,103038.5,Yes,Decline
Software Engineer,Transportation,Small,London,Medium,Medium,Python,126713.68,Yes,Growth
UX Designer,Energy,Medium,Dubai,Medium,Medium,UX/UI Design,101632.64,Yes,Decline
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,95241.72,No,Stable
UX Designer,Entertainment,Large,Singapore,Medium,Medium,UX/UI Design,91411.09,No,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Sales,80201.04,No,Growth
Software Engineer,Telecommunications,Small,Tokyo,Medium,Low,JavaScript,120393.61,No,Growth
Marketing Specialist,Healthcare,Medium,Paris,Medium,High,Sales,75285.61,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,High,Low,Cybersecurity,110077.14,No,Decline
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Python,132369.6,No,Stable
HR Manager,Education,Medium,Toronto,Low,Medium,Data Analysis,92160.56,Yes,Stable
Data Scientist,Finance,Large,Tokyo,High,Medium,Machine Learning,126149.18,No,Growth
Marketing Specialist,Energy,Medium,Paris,Medium,High,Communication,66615.39,No,Decline
Software Engineer,Technology,Large,Singapore,Medium,Medium,Python,131116.76,Yes,Decline
AI Researcher,Education,Medium,London,High,Medium,Machine Learning,160310.0,Yes,Decline
Marketing Specialist,Retail,Large,Toronto,High,High,Communication,74656.4,Yes,Decline
Software Engineer,Technology,Small,Paris,High,Medium,Python,116607.82,No,Stable
Product Manager,Transportation,Large,Paris,High,Medium,Cybersecurity,136907.88,No,Stable
Product Manager,Entertainment,Large,Tokyo,Medium,Low,Machine Learning,143312.63,Yes,Growth
UX Designer,Retail,Large,Toronto,Medium,Medium,UX/UI Design,109816.59,Yes,Stable
Marketing Specialist,Retail,Large,San Francisco,High,High,Communication,67604.13,No,Stable
Product Manager,Education,Medium,Berlin,Medium,Medium,JavaScript,138143.41,Yes,Growth
Software Engineer,Finance,Small,San Francisco,Medium,Medium,Python,113936.65,No,Growth
UX Designer,Education,Large,Toronto,Medium,Medium,UX/UI Design,93528.45,Yes,Growth
Software Engineer,Transportation,Medium,San Francisco,Medium,Medium,Python,133125.26,Yes,Stable
UX Designer,Telecommunications,Small,New York,High,Medium,UX/UI Design,112671.8,No,Stable
Marketing Specialist,Telecommunications,Small,Singapore,Medium,High,Sales,69639.95,Yes,Growth
AI Researcher,Finance,Small,New York,High,Medium,Machine Learning,160035.33,Yes,Growth
Cybersecurity Analyst,Transportation,Small,Dubai,High,Medium,Cybersecurity,110212.27,Yes,Growth
Operations Manager,Finance,Large,San Francisco,Low,Medium,Data Analysis,92661.6,No,Stable
AI Researcher,Healthcare,Large,Dubai,High,Low,Python,153613.96,Yes,Stable
Sales Manager,Telecommunications,Medium,London,Low,Medium,Sales,95253.58,Yes,Decline
Software Engineer,Retail,Medium,Sydney,High,Low,JavaScript,124641.74,Yes,Stable
Sales Manager,Energy,Medium,London,Medium,High,Sales,95430.96,Yes,Stable
AI Researcher,Entertainment,Small,Toronto,High,Low,Python,123802.55,Yes,Stable
UX Designer,Transportation,Small,Paris,Medium,Medium,UX/UI Design,108664.27,Yes,Growth
Operations Manager,Technology,Large,Singapore,Low,Medium,Project Management,98152.85,No,Stable
Operations Manager,Finance,Small,San Francisco,Medium,Medium,Data Analysis,95257.44,No,Growth
Data Scientist,Entertainment,Small,Tokyo,High,Medium,Python,130917.61,Yes,Decline
Operations Manager,Technology,Small,Sydney,Low,Medium,Data Analysis,82593.23,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,High,Medium,Cybersecurity,105852.46,No,Growth
Operations Manager,Energy,Medium,Berlin,Low,Medium,Data Analysis,100178.34,Yes,Growth
AI Researcher,Technology,Large,Berlin,High,Medium,Python,164778.94,No,Growth
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,124817.3,No,Stable
AI Researcher,Manufacturing,Small,Berlin,High,Low,Machine Learning,141915.06,No,Decline
AI Researcher,Education,Large,New York,High,Low,Data Analysis,144982.43,No,Growth
HR Manager,Telecommunications,Small,Sydney,Medium,Medium,Communication,96102.68,No,Stable
Data Scientist,Manufacturing,Small,New York,High,Low,Machine Learning,133287.51,No,Decline
AI Researcher,Education,Medium,Paris,High,Low,Data Analysis,144702.4,No,Stable
HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,93421.78,No,Decline
HR Manager,Manufacturing,Large,New York,Medium,High,Data Analysis,90647.18,Yes,Stable
Data Scientist,Retail,Large,Sydney,High,Medium,Machine Learning,139686.45,Yes,Decline
Sales Manager,Finance,Large,Paris,Low,High,Sales,80319.65,No,Decline
UX Designer,Finance,Medium,Dubai,Medium,Medium,UX/UI Design,100042.53,No,Stable
Cybersecurity Analyst,Retail,Medium,San Francisco,Medium,Low,Cybersecurity,104559.19,Yes,Growth
UX Designer,Entertainment,Small,San Francisco,Medium,Medium,UX/UI Design,91523.64,No,Decline
Operations Manager,Healthcare,Small,Berlin,Medium,Medium,Project Management,99720.9,No,Growth
Cybersecurity Analyst,Entertainment,Small,London,Medium,Medium,Cybersecurity,109457.91,Yes,Stable
Operations Manager,Technology,Small,Berlin,Medium,Medium,Project Management,97538.35,Yes,Growth
AI Researcher,Technology,Medium,Toronto,High,Medium,Python,147654.13,Yes,Growth
Software Engineer,Manufacturing,Large,New York,High,Low,Python,110846.29,No,Growth
Data Scientist,Education,Medium,Sydney,High,Medium,Python,125793.55,No,Growth
Cybersecurity Analyst,Education,Small,London,Medium,Medium,Cybersecurity,104929.64,Yes,Growth
Cybersecurity Analyst,Finance,Medium,Paris,High,Low,Cybersecurity,101482.92,Yes,Decline
AI Researcher,Transportation,Large,Toronto,High,Medium,Data Analysis,148387.14,No,Decline
Sales Manager,Entertainment,Large,Paris,Low,Medium,Sales,87693.67,Yes,Decline
HR Manager,Telecommunications,Medium,San Francisco,Medium,Medium,Data Analysis,102574.57,No,Stable
AI Researcher,Energy,Medium,San Francisco,High,Medium,Machine Learning,151745.78,No,Growth
Product Manager,Education,Medium,Berlin,High,Low,Machine Learning,142575.5,Yes,Decline
HR Manager,Energy,Small,New York,Medium,High,Data Analysis,89503.69,Yes,Stable
Data Scientist,Manufacturing,Medium,London,High,Medium,Python,110812.29,No,Decline
HR Manager,Energy,Medium,Singapore,Medium,High,Communication,89823.24,Yes,Decline
Sales Manager,Telecommunications,Medium,Toronto,Medium,Medium,Sales,85401.53,Yes,Growth
HR Manager,Retail,Large,Toronto,Low,Medium,Data Analysis,106421.61,Yes,Stable
Data Scientist,Telecommunications,Large,Berlin,High,Medium,Data Analysis,128076.39,Yes,Growth
Sales Manager,Energy,Small,San Francisco,Low,High,Sales,87010.32,No,Growth
UX Designer,Telecommunications,Small,Berlin,Medium,Medium,UX/UI Design,102239.66,No,Decline
Cybersecurity Analyst,Healthcare,Large,Sydney,High,Medium,Cybersecurity,98734.91,No,Growth
Cybersecurity Analyst,Manufacturing,Large,London,High,Low,Cybersecurity,116071.17,No,Stable
Operations Manager,Entertainment,Large,New York,Low,Medium,Data Analysis,103139.5,Yes,Growth
UX Designer,Retail,Medium,Dubai,Medium,Medium,UX/UI Design,108432.74,Yes,Growth
UX Designer,Education,Medium,Tokyo,Medium,Medium,UX/UI Design,95679.59,No,Growth
HR Manager,Technology,Large,Tokyo,Medium,High,Communication,99351.96,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,High,Low,Cybersecurity,96986.12,Yes,Stable
Data Scientist,Technology,Medium,Sydney,High,Medium,Data Analysis,135868.57,No,Decline
Marketing Specialist,Manufacturing,Small,London,Medium,High,Communication,80952.28,No,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,High,Communication,65047.32,Yes,Decline
Sales Manager,Finance,Large,Tokyo,Medium,Medium,Sales,81224.68,No,Decline
Cybersecurity Analyst,Education,Medium,London,Medium,Medium,Cybersecurity,108247.39,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,New York,High,Low,Cybersecurity,103723.93,Yes,Stable
Marketing Specialist,Finance,Small,Paris,Medium,High,Communication,62246.68,No,Growth
Cybersecurity Analyst,Manufacturing,Small,Sydney,High,Low,Cybersecurity,108014.22,Yes,Decline
HR Manager,Entertainment,Small,San Francisco,Medium,Medium,Data Analysis,82917.98,No,Decline
Product Manager,Healthcare,Large,London,High,Medium,Python,144735.92,Yes,Stable
Software Engineer,Telecommunications,Large,New York,Medium,Medium,Python,115805.76,No,Stable
UX Designer,Energy,Large,Singapore,Medium,Medium,UX/UI Design,114124.51,No,Growth
Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,91625.6,No,Stable
Sales Manager,Manufacturing,Large,San Francisco,Low,Medium,Sales,82852.92,Yes,Growth
Product Manager,Transportation,Small,Dubai,Medium,Medium,Cybersecurity,148135.17,Yes,Decline
Marketing Specialist,Energy,Medium,Singapore,High,Medium,Communication,63845.68,No,Decline
UX Designer,Technology,Small,New York,High,Medium,UX/UI Design,104205.95,Yes,Growth
Cybersecurity Analyst,Education,Large,Tokyo,Medium,Medium,Cybersecurity,117303.57,No,Stable
Operations Manager,Technology,Small,Dubai,Low,Medium,Data Analysis,85443.88,No,Growth
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Medium,Cybersecurity,108884.75,Yes,Stable
Data Scientist,Technology,Large,Berlin,High,Medium,Python,132598.83,No,Decline
Data Scientist,Manufacturing,Small,Toronto,High,Medium,Machine Learning,137818.23,Yes,Stable
Operations Manager,Telecommunications,Large,London,Medium,Medium,Project Management,88222.87,No,Growth
Operations Manager,Entertainment,Medium,Tokyo,Low,Medium,Project Management,87596.58,Yes,Growth
Marketing Specialist,Education,Large,Dubai,Medium,High,Sales,72609.71,No,Decline
Operations Manager,Technology,Medium,Paris,Low,Medium,Communication,99727.39,No,Stable
HR Manager,Technology,Medium,London,Low,High,Data Analysis,91669.95,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Berlin,Medium,Low,Cybersecurity,110098.36,No,Stable
Product Manager,Entertainment,Small,Singapore,Medium,Medium,Project Management,133199.75,No,Decline
AI Researcher,Finance,Medium,Toronto,High,Low,Machine Learning,152322.54,Yes,Stable
Operations Manager,Technology,Small,New York,Low,Medium,Project Management,99698.04,No,Growth
Sales Manager,Manufacturing,Medium,Berlin,Medium,High,Sales,80237.66,Yes,Stable
Data Scientist,Transportation,Large,Berlin,High,Low,Data Analysis,148657.75,No,Decline
HR Manager,Education,Large,Singapore,Medium,High,Data Analysis,93158.89,Yes,Stable
UX Designer,Technology,Medium,Sydney,Medium,Medium,UX/UI Design,93565.22,No,Stable
AI Researcher,Manufacturing,Large,Singapore,High,Low,Machine Learning,156565.54,No,Growth
Product Manager,Manufacturing,Medium,Sydney,Medium,Low,Marketing,130253.18,No,Stable
AI Researcher,Education,Large,Sydney,High,Low,Data Analysis,157870.85,Yes,Growth
Operations Manager,Finance,Small,Tokyo,Low,Medium,Communication,106189.47,Yes,Growth
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,High,Sales,65896.59,Yes,Decline
Data Scientist,Transportation,Small,San Francisco,High,Low,Data Analysis,139633.76,Yes,Growth
Data Scientist,Manufacturing,Large,Dubai,High,Low,Python,134127.81,No,Growth
UX Designer,Manufacturing,Small,Dubai,Medium,Medium,UX/UI Design,108665.45,No,Decline
Marketing Specialist,Manufacturing,Large,New York,Medium,High,Communication,79483.96,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,Dubai,High,Low,Cybersecurity,105659.59,Yes,Decline
Software Engineer,Telecommunications,Medium,Tokyo,High,Low,Python,117462.64,Yes,Stable
HR Manager,Finance,Medium,San Francisco,Medium,High,Communication,84069.9,No,Decline
Data Scientist,Technology,Small,San Francisco,High,Medium,Machine Learning,121841.9,Yes,Growth
Sales Manager,Manufacturing,Large,Sydney,Low,High,Sales,84485.99,Yes,Decline
Data Scientist,Entertainment,Small,Singapore,High,Low,Data Analysis,133411.52,No,Growth
AI Researcher,Technology,Large,New York,High,Low,Data Analysis,152766.91,No,Stable
Data Scientist,Finance,Medium,Sydney,High,Low,Data Analysis,138271.83,Yes,Decline
Data Scientist,Retail,Large,Singapore,High,Medium,Python,130130.02,No,Stable
Software Engineer,Technology,Medium,Dubai,Medium,Low,Python,139535.34,Yes,Growth
Software Engineer,Technology,Large,Sydney,Medium,Low,Python,122353.43,No,Growth
Product Manager,Energy,Large,London,High,Medium,Project Management,167201.69,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Dubai,High,Medium,Cybersecurity,112192.51,Yes,Decline
Sales Manager,Energy,Small,Singapore,Medium,Medium,Sales,79285.62,Yes,Decline
Data Scientist,Transportation,Small,New York,High,Low,Python,119291.08,Yes,Growth
Data Scientist,Telecommunications,Medium,Singapore,High,Low,Machine Learning,134824.72,No,Stable
HR Manager,Telecommunications,Medium,Sydney,Medium,High,Communication,88510.25,No,Stable
Software Engineer,Healthcare,Small,Sydney,Medium,Low,Python,132140.0,No,Decline
Sales Manager,Education,Medium,Berlin,Medium,Medium,Sales,88154.92,No,Decline
UX Designer,Education,Small,New York,High,Medium,UX/UI Design,101953.78,Yes,Decline
Product Manager,Finance,Large,Paris,Medium,Medium,Machine Learning,131532.06,Yes,Stable
Cybersecurity Analyst,Healthcare,Medium,Dubai,High,Low,Cybersecurity,96138.65,No,Decline
Marketing Specialist,Technology,Medium,San Francisco,Medium,High,Communication,67767.43,No,Decline
Cybersecurity Analyst,Education,Small,New York,Medium,Low,Cybersecurity,113922.99,No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,High,Medium,Machine Learning,152140.94,No,Decline
Data Scientist,Entertainment,Medium,New York,High,Medium,Machine Learning,117542.61,No,Decline
Product Manager,Technology,Large,New York,Medium,Medium,UX/UI Design,141731.81,Yes,Stable
AI Researcher,Transportation,Medium,Singapore,High,Low,Machine Learning,153853.17,Yes,Stable
Sales Manager,Manufacturing,Large,New York,Low,High,Sales,79107.62,Yes,Growth
Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Communication,70768.63,No,Decline
Software Engineer,Healthcare,Medium,Paris,High,Medium,Python,125582.09,No,Growth
Product Manager,Finance,Large,Sydney,Medium,Medium,JavaScript,128570.3,No,Stable
Product Manager,Transportation,Small,Toronto,Medium,Low,Project Management,143577.87,No,Growth
Data Scientist,Education,Medium,San Francisco,High,Medium,Data Analysis,135607.85,Yes,Stable
Operations Manager,Healthcare,Small,Sydney,Low,Medium,Project Management,105622.88,Yes,Growth
Product Manager,Education,Medium,Toronto,Medium,Medium,Machine Learning,150538.02,No,Growth
HR Manager,Healthcare,Small,Paris,Low,High,Data Analysis,80815.54,Yes,Decline
Marketing Specialist,Healthcare,Small,Paris,High,High,Sales,65310.87,Yes,Growth
Marketing Specialist,Healthcare,Large,San Francisco,Medium,High,Sales,72575.18,No,Decline
HR Manager,Finance,Small,San Francisco,Low,High,Data Analysis,93425.24,No,Decline
UX Designer,Healthcare,Medium,Paris,Medium,Medium,UX/UI Design,106362.86,No,Decline
HR Manager,Retail,Medium,Toronto,Medium,High,Communication,110000.0,No,Decline
HR Manager,Entertainment,Large,New York,Low,High,Communication,93805.94,No,Growth
Marketing Specialist,Education,Medium,Dubai,Medium,Medium,Sales,75677.83,No,Stable
Cybersecurity Analyst,Technology,Medium,London,Medium,Medium,Cybersecurity,114655.01,Yes,Stable
Marketing Specialist,Energy,Medium,Sydney,Medium,High,Sales,73256.96,Yes,Stable
Operations Manager,Transportation,Small,Singapore,Medium,Medium,Project Management,95135.48,No,Growth
Data Scientist,Telecommunications,Small,Sydney,High,Medium,Python,137589.69,Yes,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,142271.75,No,Stable
Cybersecurity Analyst,Technology,Large,Toronto,Medium,Low,Cybersecurity,105723.86,No,Growth
Software Engineer,Manufacturing,Small,Singapore,High,Low,JavaScript,120146.36,No,Decline
AI Researcher,Retail,Large,San Francisco,High,Medium,Python,150818.74,No,Stable
Data Scientist,Telecommunications,Medium,Dubai,High,Medium,Machine Learning,153146.59,Yes,Decline
Operations Manager,Energy,Medium,Dubai,Low,Medium,Data Analysis,83495.51,No,Stable
Operations Manager,Technology,Small,San Francisco,Low,Medium,Data Analysis,102646.95,Yes,Stable
Software Engineer,Telecommunications,Medium,Berlin,Medium,Low,Python,108872.84,No,Stable
Cybersecurity Analyst,Technology,Small,Toronto,Medium,Medium,Cybersecurity,103960.51,No,Decline
UX Designer,Retail,Medium,Berlin,Medium,Medium,UX/UI Design,110667.13,No,Growth
HR Manager,Energy,Medium,Berlin,Medium,High,Communication,90428.53,Yes,Decline
Cybersecurity Analyst,Manufacturing,Small,Sydney,High,Medium,Cybersecurity,99416.91,No,Stable
UX Designer,Healthcare,Small,Paris,Medium,Medium,UX/UI Design,97135.22,No,Decline
Operations Manager,Education,Small,Sydney,Low,Medium,Data Analysis,102596.98,No,Growth
Marketing Specialist,Manufacturing,Medium,Paris,Medium,Medium,Communication,66348.17,Yes,Decline
Data Scientist,Healthcare,Medium,London,High,Medium,Data Analysis,132164.59,Yes,Growth
Software Engineer,Finance,Large,Singapore,Medium,Medium,Python,125455.72,Yes,Growth
Data Scientist,Entertainment,Small,Paris,High,Low,Data Analysis,123484.0,No,Decline
Sales Manager,Transportation,Medium,San Francisco,Low,High,Sales,99292.96,Yes,Stable
Sales Manager,Transportation,Medium,Sydney,Low,Medium,Sales,89226.13,No,Growth
Cybersecurity Analyst,Education,Small,Toronto,High,Medium,Cybersecurity,92311.43,Yes,Decline
Operations Manager,Energy,Large,Singapore,Low,Medium,Data Analysis,98898.41,Yes,Growth
Operations Manager,Retail,Small,London,Medium,Medium,Data Analysis,92536.6,No,Stable
HR Manager,Energy,Large,Paris,Low,Medium,Communication,95682.89,Yes,Decline
HR Manager,Retail,Medium,London,Medium,High,Communication,84716.53,No,Decline
HR Manager,Energy,Large,Toronto,Low,High,Data Analysis,89235.09,No,Decline
Marketing Specialist,Entertainment,Medium,Berlin,Medium,Medium,Communication,72524.94,Yes,Stable
AI Researcher,Finance,Small,Dubai,High,Low,Data Analysis,158657.55,No,Growth
Product Manager,Finance,Small,Toronto,Medium,Low,Python,127997.04,No,Decline
AI Researcher,Healthcare,Small,Tokyo,High,Low,Data Analysis,146654.99,Yes,Growth
Data Scientist,Telecommunications,Large,Toronto,High,Low,Machine Learning,125250.55,Yes,Growth
