Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
AI Researcher,Finance,Medium,London,High,Medium,Data Analysis,143466.71,No,Stable
Marketing Specialist,Finance,Small,San Francisco,High,High,Sales,78827.27,Yes,Decline
Data Scientist,Manufacturing,Small,Sydney,High,Low,Python,134049.82,No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,High,Medium,Machine Learning,137391.16,No,Decline
Marketing Specialist,Healthcare,Small,London,Medium,High,Communication,74589.31,Yes,Decline
Product Manager,Telecommunications,Medium,Sydney,High,Medium,Sales,161221.56,Yes,Stable
AI Researcher,Education,Medium,Tokyo,High,Medium,Python,160324.65,Yes,Decline
Marketing Specialist,Manufacturing,Medium,Dubai,Medium,High,Sales,62403.15,Yes,Decline
HR Manager,Education,Medium,Singapore,Low,Medium,Communication,86771.77,No,Growth
Operations Manager,Technology,Medium,London,Low,Medium,Project Management,107001.83,No,Stable
HR Manager,Manufacturing,Large,Paris,Low,Medium,Communication,85282.2,Yes,Decline
Operations Manager,Entertainment,Small,London,Low,Medium,Data Analysis,100828.65,Yes,Growth
Software Engineer,Telecommunications,Large,London,High,Low,JavaScript,132746.34,No,Stable
Software Engineer,Healthcare,Small,Sydney,Medium,Medium,JavaScript,115730.7,No,Stable
Software Engineer,Technology,Large,New York,Medium,Medium,Python,124404.75,No,Growth
Product Manager,Telecommunications,Medium,Toronto,Medium,Medium,Communication,110000.0,No,Growth
HR Manager,Entertainment,Small,New York,Medium,High,Communication,83170.75,Yes,Growth
Operations Manager,Telecommunications,Small,Tokyo,Low,Medium,Data Analysis,95605.74,No,Growth
Marketing Specialist,Entertainment,Large,Paris,Medium,Medium,Communication,63761.08,No,Growth
Data Scientist,Entertainment,Large,Dubai,High,Medium,Machine Learning,146324.11,Yes,Decline
Marketing Specialist,Education,Small,Berlin,Medium,Medium,Sales,62849.29,No,Decline
Data Scientist,Energy,Large,Tokyo,High,Medium,Data Analysis,125599.56,No,Stable
Sales Manager,Technology,Large,Berlin,Medium,Medium,Sales,85871.6,Yes,Decline
Marketing Specialist,Telecommunications,Large,Berlin,Medium,Medium,Communication,77206.37,Yes,Decline
AI Researcher,Retail,Medium,Dubai,High,Low,Python,135641.38,Yes,Decline
AI Researcher,Technology,Medium,San Francisco,High,Low,Data Analysis,161631.64,No,Growth
Cybersecurity Analyst,Energy,Large,New York,Medium,Medium,Cybersecurity,107576.75,No,Stable
HR Manager,Technology,Large,London,Medium,Medium,Data Analysis,83456.61,Yes,Stable
Data Scientist,Finance,Medium,Singapore,High,Low,Machine Learning,134621.03,Yes,Stable
Data Scientist,Retail,Medium,Berlin,High,Low,Data Analysis,131990.6,No,Stable
HR Manager,Energy,Small,Paris,Medium,Medium,Communication,85998.55,Yes,Decline
Product Manager,Education,Small,Tokyo,Medium,Medium,Python,140698.02,Yes,Decline
Cybersecurity Analyst,Telecommunications,Medium,San Francisco,Medium,Medium,Cybersecurity,104610.15,Yes,Growth
Product Manager,Transportation,Large,Berlin,Medium,Medium,Sales,141135.17,No,Stable
Product Manager,Energy,Large,San Francisco,Medium,Low,Machine Learning,146621.31,No,Decline
Product Manager,Healthcare,Large,San Francisco,High,Low,Marketing,155860.17,No,Decline
HR Manager,Telecommunications,Large,Berlin,Low,Medium,Data Analysis,81747.9,No,Growth
Product Manager,Energy,Small,Sydney,High,Medium,Project Management,161330.33,No,Growth
AI Researcher,Finance,Medium,Toronto,High,Low,Python,130479.12,No,Growth
Software Engineer,Transportation,Large,Paris,High,Medium,Python,123482.15,Yes,Decline
Sales Manager,Finance,Small,London,Low,Medium,Sales,88922.11,No,Decline
Data Scientist,Transportation,Large,London,High,Low,Python,132809.92,No,Growth
Data Scientist,Healthcare,Medium,Paris,High,Medium,Data Analysis,123773.0,Yes,Stable
Sales Manager,Telecommunications,Small,Sydney,Medium,Medium,Sales,83612.52,No,Growth
HR Manager,Education,Medium,London,Low,Medium,Data Analysis,86713.33,No,Growth
Marketing Specialist,Finance,Medium,San Francisco,Medium,Medium,Communication,67053.18,Yes,Growth
HR Manager,Finance,Small,Dubai,Low,High,Communication,95664.01,Yes,Growth
Data Scientist,Entertainment,Small,Tokyo,High,Medium,Machine Learning,133570.15,Yes,Decline
Data Scientist,Transportation,Small,New York,High,Low,Machine Learning,123070.9,No,Stable
Sales Manager,Manufacturing,Small,London,Low,High,Sales,90997.33,Yes,Growth
Product Manager,Telecommunications,Small,Paris,Medium,Medium,Project Management,143073.0,No,Stable
HR Manager,Transportation,Small,Dubai,Low,High,Data Analysis,95419.08,No,Stable
Operations Manager,Entertainment,Small,Berlin,Low,Medium,Project Management,102222.22,No,Stable
Sales Manager,Technology,Large,Toronto,Medium,High,Sales,79473.37,No,Growth
AI Researcher,Transportation,Medium,Paris,High,Low,Data Analysis,144398.19,Yes,Decline
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,137472.94,Yes,Growth
Sales Manager,Telecommunications,Large,Toronto,Low,Medium,Sales,89069.14,No,Stable
HR Manager,Entertainment,Large,Tokyo,Low,High,Communication,89860.66,Yes,Stable
Data Scientist,Technology,Large,Tokyo,High,Low,Data Analysis,131173.27,No,Decline
Marketing Specialist,Retail,Medium,Sydney,Medium,High,Communication,76388.32,No,Growth
Sales Manager,Entertainment,Small,Singapore,Low,High,Sales,81056.19,No,Stable
Cybersecurity Analyst,Retail,Large,Sydney,High,Low,Cybersecurity,111603.23,Yes,Decline
Data Scientist,Telecommunications,Medium,Dubai,High,Low,Machine Learning,127978.07,No,Stable
HR Manager,Finance,Medium,Toronto,Medium,Medium,Communication,88548.79,No,Decline
Software Engineer,Entertainment,Medium,Singapore,Medium,Medium,JavaScript,135987.77,Yes,Decline
Operations Manager,Healthcare,Large,Berlin,Medium,Medium,Project Management,103690.62,Yes,Growth
UX Designer,Retail,Small,San Francisco,Medium,Medium,UX/UI Design,108601.32,Yes,Stable
Product Manager,Education,Large,Toronto,High,Low,Machine Learning,153054.79,Yes,Growth
UX Designer,Healthcare,Large,Sydney,Medium,Medium,UX/UI Design,102657.53,No,Stable
HR Manager,Energy,Small,New York,Medium,High,Communication,94546.35,Yes,Growth
AI Researcher,Energy,Small,Singapore,High,Low,Machine Learning,146897.33,No,Stable
AI Researcher,Technology,Small,Singapore,High,Medium,Python,153241.66,Yes,Growth
Software Engineer,Finance,Medium,San Francisco,High,Low,JavaScript,123698.57,Yes,Decline
Product Manager,Telecommunications,Small,London,Medium,Medium,Machine Learning,140969.96,Yes,Stable
Cybersecurity Analyst,Entertainment,Large,Tokyo,Medium,Medium,Cybersecurity,111963.68,Yes,Stable
Software Engineer,Manufacturing,Small,Tokyo,Medium,Medium,JavaScript,116817.79,Yes,Decline
UX Designer,Education,Large,New York,Medium,Medium,UX/UI Design,118192.9,Yes,Growth
Software Engineer,Retail,Medium,Dubai,High,Medium,Python,114939.83,No,Stable
UX Designer,Telecommunications,Large,Dubai,Medium,Medium,UX/UI Design,93393.59,Yes,Stable
Data Scientist,Healthcare,Large,Berlin,High,Medium,Data Analysis,141581.11,Yes,Growth
AI Researcher,Energy,Small,Toronto,High,Medium,Python,157916.63,Yes,Decline
Data Scientist,Education,Small,Paris,High,Low,Machine Learning,136241.2,Yes,Growth
Operations Manager,Manufacturing,Large,London,Low,Medium,Data Analysis,102212.59,No,Growth
Product Manager,Entertainment,Small,Sydney,Medium,Low,JavaScript,139877.53,Yes,Growth
Cybersecurity Analyst,Technology,Medium,Paris,High,Low,Cybersecurity,100770.59,Yes,Stable
UX Designer,Manufacturing,Medium,Paris,Medium,Medium,UX/UI Design,103068.53,Yes,Decline
Cybersecurity Analyst,Education,Small,Singapore,High,Low,Cybersecurity,102421.29,Yes,Decline
UX Designer,Manufacturing,Medium,New York,High,Medium,UX/UI Design,109813.4,No,Growth
HR Manager,Education,Small,Tokyo,Low,Medium,Communication,89019.62,Yes,Stable
Software Engineer,Education,Large,Berlin,High,Low,Python,116745.03,No,Growth
Operations Manager,Transportation,Large,Dubai,Medium,Medium,Project Management,95089.61,Yes,Stable
AI Researcher,Retail,Medium,New York,High,Low,Python,154129.31,No,Stable
UX Designer,Energy,Small,Singapore,Medium,Medium,UX/UI Design,98272.07,No,Stable
Cybersecurity Analyst,Transportation,Small,Sydney,Medium,Low,Cybersecurity,101333.35,Yes,Stable
Operations Manager,Entertainment,Medium,Berlin,Medium,Medium,Communication,99327.65,Yes,Decline
Marketing Specialist,Transportation,Large,Singapore,Medium,Medium,Communication,71224.83,No,Stable
Marketing Specialist,Finance,Medium,Tokyo,High,Medium,Communication,67465.28,No,Stable
Data Scientist,Finance,Large,Tokyo,High,Low,Machine Learning,125289.62,Yes,Growth
AI Researcher,Energy,Small,Tokyo,High,Medium,Data Analysis,152320.5,No,Growth
HR Manager,Manufacturing,Large,New York,Low,High,Data Analysis,80346.1,No,Decline
Cybersecurity Analyst,Retail,Medium,New York,Medium,Medium,Cybersecurity,96944.02,No,Growth
Software Engineer,Energy,Small,Dubai,High,Medium,Python,117815.56,Yes,Stable
Software Engineer,Education,Medium,Dubai,High,Low,Python,122865.53,No,Growth
Cybersecurity Analyst,Healthcare,Medium,Sydney,Medium,Low,Cybersecurity,109831.81,No,Decline
Product Manager,Retail,Large,Berlin,Medium,Medium,Project Management,154753.56,No,Growth
HR Manager,Retail,Medium,San Francisco,Low,High,Data Analysis,95717.73,Yes,Growth
Operations Manager,Education,Large,San Francisco,Low,Medium,Communication,96300.46,Yes,Decline
UX Designer,Education,Small,Singapore,Medium,Medium,UX/UI Design,102357.38,No,Decline
Product Manager,Technology,Large,Tokyo,Medium,Medium,JavaScript,129974.71,Yes,Stable
UX Designer,Energy,Small,Berlin,High,Medium,UX/UI Design,102361.15,No,Growth
UX Designer,Education,Large,Paris,Medium,Medium,UX/UI Design,100335.06,Yes,Stable
Product Manager,Finance,Medium,New York,Medium,Low,UX/UI Design,143227.19,Yes,Growth
Data Scientist,Entertainment,Large,Toronto,High,Low,Data Analysis,121727.69,No,Growth
Marketing Specialist,Healthcare,Large,London,Medium,High,Communication,72596.73,Yes,Stable
UX Designer,Energy,Small,Sydney,Medium,Medium,UX/UI Design,113995.54,Yes,Growth
Product Manager,Telecommunications,Medium,Tokyo,High,Low,Python,138912.4,Yes,Growth
Product Manager,Finance,Large,Tokyo,High,Medium,Python,144017.12,No,Growth
Sales Manager,Manufacturing,Medium,Tokyo,Low,Medium,Sales,89600.96,Yes,Decline
Data Scientist,Education,Large,New York,High,Low,Data Analysis,125987.8,Yes,Stable
AI Researcher,Telecommunications,Large,New York,High,Low,Data Analysis,152240.92,No,Decline
Sales Manager,Education,Medium,London,Medium,High,Sales,85083.95,Yes,Stable
Sales Manager,Retail,Large,Paris,Medium,High,Sales,85651.17,Yes,Stable
Cybersecurity Analyst,Finance,Medium,Berlin,High,Low,Cybersecurity,101702.43,Yes,Growth
Marketing Specialist,Retail,Large,Tokyo,Medium,Medium,Communication,70122.55,Yes,Stable
Product Manager,Technology,Small,San Francisco,High,Medium,Data Analysis,144979.98,Yes,Decline
Marketing Specialist,Retail,Medium,Dubai,Medium,High,Communication,77255.72,No,Decline
HR Manager,Technology,Large,San Francisco,Medium,High,Data Analysis,96395.14,No,Decline
Cybersecurity Analyst,Technology,Large,Singapore,High,Medium,Cybersecurity,123648.87,Yes,Stable
AI Researcher,Telecommunications,Small,San Francisco,High,Medium,Data Analysis,142326.52,Yes,Decline
Marketing Specialist,Education,Medium,Singapore,High,Medium,Sales,74361.6,Yes,Stable
Software Engineer,Manufacturing,Large,Toronto,Medium,Medium,JavaScript,126833.42,No,Decline
UX Designer,Retail,Small,Dubai,Medium,Medium,UX/UI Design,118923.52,No,Decline
HR Manager,Finance,Large,San Francisco,Low,High,Communication,84611.34,Yes,Stable
Data Scientist,Technology,Medium,Toronto,High,Medium,Machine Learning,121602.78,Yes,Decline
AI Researcher,Education,Large,Sydney,High,Medium,Machine Learning,144006.07,No,Growth
HR Manager,Healthcare,Large,Berlin,Low,High,Data Analysis,75840.7,Yes,Stable
UX Designer,Energy,Large,Toronto,High,Medium,UX/UI Design,98556.84,No,Stable
Cybersecurity Analyst,Telecommunications,Large,Berlin,High,Low,Cybersecurity,101806.51,No,Stable
UX Designer,Manufacturing,Small,San Francisco,Medium,Medium,UX/UI Design,103627.95,Yes,Growth
Sales Manager,Transportation,Small,Paris,Medium,High,Sales,87278.37,No,Stable
UX Designer,Telecommunications,Medium,Toronto,Medium,Medium,UX/UI Design,116571.28,Yes,Decline
Sales Manager,Healthcare,Small,Dubai,Low,High,Sales,91336.16,Yes,Decline
Cybersecurity Analyst,Energy,Small,San Francisco,Medium,Medium,Cybersecurity,103173.22,Yes,Decline
Operations Manager,Healthcare,Medium,Tokyo,Low,Medium,Project Management,90761.89,Yes,Stable
Sales Manager,Retail,Small,New York,Low,Medium,Sales,88279.46,Yes,Decline
Data Scientist,Technology,Small,Toronto,High,Low,Python,116797.67,Yes,Stable
UX Designer,Manufacturing,Medium,Dubai,Medium,Medium,UX/UI Design,116235.94,No,Decline
UX Designer,Entertainment,Medium,Sydney,High,Medium,UX/UI Design,111345.8,No,Growth
Data Scientist,Technology,Medium,Tokyo,High,Low,Machine Learning,125308.24,No,Growth
Software Engineer,Entertainment,Large,Sydney,High,Medium,Python,107868.65,No,Growth
Product Manager,Energy,Large,San Francisco,High,Low,UX/UI Design,153538.72,Yes,Growth
Operations Manager,Education,Medium,New York,Low,Medium,Communication,96640.95,No,Stable
AI Researcher,Transportation,Medium,Toronto,High,Low,Machine Learning,162378.16,No,Decline
Sales Manager,Finance,Medium,Toronto,Low,High,Sales,74370.48,No,Growth
Data Scientist,Technology,Large,Paris,High,Medium,Machine Learning,124006.25,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Paris,High,Medium,Cybersecurity,107539.33,No,Growth
Sales Manager,Healthcare,Small,San Francisco,Medium,Medium,Sales,85313.2,Yes,Growth
Product Manager,Manufacturing,Small,San Francisco,High,Medium,UX/UI Design,135499.35,No,Stable
Cybersecurity Analyst,Energy,Medium,New York,Medium,Medium,Cybersecurity,112171.37,Yes,Stable
HR Manager,Entertainment,Large,Paris,Low,High,Data Analysis,82882.53,Yes,Decline
UX Designer,Healthcare,Large,Dubai,High,Medium,UX/UI Design,101432.15,No,Decline
HR Manager,Finance,Large,Dubai,Low,High,Communication,90801.97,Yes,Growth
Sales Manager,Finance,Medium,New York,Low,High,Sales,88429.59,Yes,Growth
Product Manager,Technology,Small,Dubai,High,Medium,Marketing,147116.15,No,Decline
Operations Manager,Energy,Medium,Singapore,Low,Medium,Project Management,89065.18,No,Decline
Sales Manager,Education,Small,Berlin,Medium,High,Sales,74772.57,No,Stable
Data Scientist,Energy,Small,New York,High,Low,Data Analysis,142776.77,Yes,Decline
Marketing Specialist,Entertainment,Medium,New York,Medium,Medium,Communication,71661.57,Yes,Decline
Sales Manager,Manufacturing,Small,London,Medium,High,Sales,80010.09,Yes,Growth
UX Designer,Finance,Small,Tokyo,High,Medium,UX/UI Design,114133.64,No,Decline
UX Designer,Manufacturing,Large,Tokyo,Medium,Medium,UX/UI Design,103367.56,Yes,Growth
Sales Manager,Manufacturing,Small,Singapore,Low,Medium,Sales,92861.98,Yes,Decline
Cybersecurity Analyst,Manufacturing,Medium,Paris,Medium,Medium,Cybersecurity,108006.39,Yes,Stable
Marketing Specialist,Finance,Medium,San Francisco,Medium,High,Communication,80303.74,Yes,Decline
Data Scientist,Telecommunications,Small,San Francisco,High,Low,Machine Learning,147553.41,Yes,Decline
Sales Manager,Retail,Large,Sydney,Low,High,Sales,83340.24,Yes,Decline
Cybersecurity Analyst,Entertainment,Large,Singapore,Medium,Medium,Cybersecurity,114786.78,Yes,Growth
UX Designer,Telecommunications,Small,New York,High,Medium,UX/UI Design,107340.32,No,Stable
UX Designer,Entertainment,Small,Singapore,High,Medium,UX/UI Design,112764.74,No,Decline
Product Manager,Healthcare,Medium,Singapore,Medium,Medium,Communication,130350.77,No,Growth
Sales Manager,Energy,Small,Singapore,Medium,Medium,Sales,89573.68,Yes,Stable
Marketing Specialist,Energy,Large,Tokyo,Medium,High,Communication,75292.12,Yes,Growth
Software Engineer,Transportation,Small,Singapore,High,Medium,Python,107412.61,No,Growth
Marketing Specialist,Energy,Medium,Berlin,Medium,High,Sales,64083.71,Yes,Stable
UX Designer,Finance,Medium,San Francisco,Medium,Medium,UX/UI Design,87205.76,No,Decline
UX Designer,Education,Medium,Sydney,Medium,Medium,UX/UI Design,100479.45,Yes,Growth
HR Manager,Technology,Medium,Berlin,Medium,High,Data Analysis,94783.62,Yes,Growth
UX Designer,Transportation,Medium,Sydney,High,Medium,UX/UI Design,113767.68,No,Decline
Data Scientist,Technology,Small,London,High,Low,Machine Learning,130740.95,No,Decline
AI Researcher,Entertainment,Small,Sydney,High,Medium,Python,166286.16,No,Stable
Sales Manager,Technology,Small,San Francisco,Medium,High,Sales,75799.32,No,Stable
Marketing Specialist,Technology,Small,San Francisco,Medium,Medium,Communication,61483.09,No,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Machine Learning,149444.52,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,Toronto,Medium,Medium,Cybersecurity,110380.49,Yes,Growth
Software Engineer,Manufacturing,Small,London,Medium,Medium,Python,124673.05,Yes,Growth
Data Scientist,Energy,Large,New York,High,Low,Machine Learning,109325.58,No,Stable
Marketing Specialist,Energy,Small,Dubai,High,Medium,Sales,69554.4,No,Decline
AI Researcher,Finance,Small,Sydney,High,Low,Python,136955.3,No,Growth
Software Engineer,Transportation,Large,Toronto,High,Medium,Python,131696.73,No,Stable
HR Manager,Finance,Medium,Singapore,Medium,High,Data Analysis,92443.99,No,Growth
Data Scientist,Education,Small,Tokyo,High,Medium,Python,120601.2,No,Growth
Data Scientist,Education,Small,New York,High,Low,Data Analysis,124861.33,Yes,Decline
HR Manager,Finance,Small,Paris,Low,Medium,Data Analysis,82938.58,Yes,Decline
Sales Manager,Transportation,Large,Toronto,Medium,High,Sales,84582.14,Yes,Growth
HR Manager,Finance,Medium,Tokyo,Low,High,Communication,96367.62,Yes,Stable
Data Scientist,Energy,Large,London,High,Low,Machine Learning,120142.74,Yes,Decline
Data Scientist,Telecommunications,Large,Singapore,High,Medium,Python,135040.47,No,Growth
AI Researcher,Retail,Medium,New York,High,Low,Machine Learning,144697.42,No,Decline
UX Designer,Technology,Large,New York,Medium,Medium,UX/UI Design,96553.45,No,Decline
Software Engineer,Retail,Medium,New York,Medium,Medium,JavaScript,123929.7,No,Decline
HR Manager,Transportation,Small,London,Medium,Medium,Communication,83098.38,No,Growth
Software Engineer,Retail,Medium,Sydney,Medium,Low,Python,119463.51,No,Stable
HR Manager,Education,Small,Paris,Medium,High,Communication,82014.15,Yes,Stable
Cybersecurity Analyst,Entertainment,Large,London,High,Low,Cybersecurity,122235.44,No,Stable
Data Scientist,Technology,Large,Dubai,High,Low,Machine Learning,130352.64,No,Decline
UX Designer,Manufacturing,Small,Paris,Medium,Medium,UX/UI Design,97252.06,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Data Analysis,152139.8,No,Decline
UX Designer,Technology,Medium,Singapore,Medium,Medium,UX/UI Design,101657.54,Yes,Stable
UX Designer,Retail,Small,London,Medium,Medium,UX/UI Design,100842.73,Yes,Stable
UX Designer,Education,Large,Tokyo,High,Medium,UX/UI Design,107106.25,No,Growth
Software Engineer,Healthcare,Small,Paris,High,Medium,Python,132575.08,Yes,Decline
HR Manager,Telecommunications,Medium,Dubai,Low,High,Communication,86463.33,Yes,Stable
Operations Manager,Manufacturing,Medium,San Francisco,Medium,Medium,Project Management,93181.36,No,Growth
Cybersecurity Analyst,Telecommunications,Large,Sydney,Medium,Medium,Cybersecurity,105437.11,No,Decline
Marketing Specialist,Technology,Medium,Tokyo,Medium,High,Communication,58490.39,No,Decline
UX Designer,Education,Small,Paris,Medium,Medium,UX/UI Design,91136.07,No,Stable
Sales Manager,Education,Medium,Singapore,Medium,High,Sales,94112.5,No,Stable
Software Engineer,Retail,Small,Tokyo,Medium,Medium,JavaScript,141449.68,Yes,Decline
AI Researcher,Energy,Small,San Francisco,High,Low,Machine Learning,147509.64,No,Decline
Marketing Specialist,Retail,Medium,Tokyo,Medium,High,Communication,72882.78,No,Stable
Operations Manager,Energy,Large,Berlin,Low,Medium,Data Analysis,99834.38,No,Decline
Sales Manager,Energy,Medium,Toronto,Medium,Medium,Sales,105000.0,Yes,Stable
Operations Manager,Manufacturing,Small,Sydney,Medium,Medium,Project Management,105896.81,No,Decline
Marketing Specialist,Retail,Small,San Francisco,Medium,Medium,Sales,69360.41,No,Stable
UX Designer,Healthcare,Medium,Tokyo,Medium,Medium,UX/UI Design,95333.45,No,Growth
Sales Manager,Finance,Large,Toronto,Medium,High,Sales,74290.36,Yes,Stable
Operations Manager,Finance,Large,Toronto,Low,Medium,Project Management,99025.98,No,Stable
AI Researcher,Retail,Small,Tokyo,High,Low,Data Analysis,142436.49,No,Growth
HR Manager,Retail,Small,Singapore,Low,High,Communication,80518.31,No,Decline
Data Scientist,Telecommunications,Large,Berlin,High,Medium,Data Analysis,123534.27,Yes,Growth
HR Manager,Manufacturing,Medium,London,Medium,High,Communication,82789.68,No,Stable
Marketing Specialist,Retail,Small,Berlin,Medium,High,Communication,78435.71,No,Decline
Software Engineer,Telecommunications,Small,Tokyo,Medium,Medium,Python,133816.4,No,Growth
Data Scientist,Energy,Large,Sydney,High,Medium,Data Analysis,129920.27,Yes,Decline
Cybersecurity Analyst,Education,Medium,London,High,Low,Cybersecurity,118599.58,No,Decline
AI Researcher,Education,Large,San Francisco,High,Medium,Data Analysis,150773.68,No,Growth
Cybersecurity Analyst,Energy,Medium,Berlin,Medium,Medium,Cybersecurity,101040.37,No,Decline
Sales Manager,Transportation,Medium,Tokyo,Medium,High,Sales,95154.16,Yes,Growth
Data Scientist,Telecommunications,Medium,Berlin,High,Medium,Data Analysis,135389.1,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,London,High,Low,Cybersecurity,99720.65,No,Decline
Cybersecurity Analyst,Energy,Large,Dubai,Medium,Medium,Cybersecurity,106072.46,Yes,Stable
Operations Manager,Healthcare,Large,Paris,Medium,Medium,Data Analysis,90932.86,Yes,Stable
HR Manager,Entertainment,Medium,Berlin,Low,High,Data Analysis,80781.34,Yes,Decline
